github.com/AlDanial/cloc v 2.06  T=3.14 s (527.8 files/s, 100190.2 lines/s)
--------------------------------------------------------------------------------------------------------------------------------------
File                                                                                               blank        comment           code
--------------------------------------------------------------------------------------------------------------------------------------
app/globals.css                                                                                      214            229           1083
lib/test-utils/fixtures/index.ts                                                                      91            108            986
app/[clinic]/vaccine_reactions/client.tsx                                                             61             19            842
app/[clinic]/dashboard/lost-pets/[id]/client.tsx                                                      63              7            780
app/[clinic]/store/orders/client.tsx                                                                  61             17            760
app/[clinic]/dashboard/insurance/claims/[id]/page.tsx                                                 53              9            715
app/platform/monitoring/client.tsx                                                                    35             15            714
app/[clinic]/prescriptions/client.tsx                                                                 55             19            711
lib/test-utils/mock-presets.ts                                                                       144            336            711
app/[clinic]/growth_charts/client.tsx                                                                 53             18            692
components/calendar/event-detail-modal.tsx                                                            52             20            666
app/[clinic]/dashboard/epidemiology/client.tsx                                                        48             16            658
app/[clinic]/dashboard/admin/catalog-approvals/client.tsx                                             42              8            654
app/[clinic]/portal/messages/[id]/page.tsx                                                            62             23            650
app/actions/create-appointment.ts                                                                     88             45            643
app/[clinic]/drug_dosages/page.tsx                                                                    54             18            638
app/[clinic]/store/product/[id]/client.tsx                                                            46              7            628
components/calendar/CalendarStyles.tsx                                                                55             59            617
app/actions/appointments.ts                                                                          104            103            615
app/[clinic]/dashboard/consents/[id]/page.tsx                                                         50             17            611
app/actions/schedules.ts                                                                             105             70            610
app/[clinic]/layout.tsx                                                                               33             15            601
app/[clinic]/dashboard/clients/[id]/page.tsx                                                          46             12            598
lib/types/store.ts                                                                                    74             70            589
app/[clinic]/about/page.tsx                                                                           46             11            587
components/dashboard/inventory/multi-mode-scanner.tsx                                                 57             21            584
components/analytics/analytics-pdf.tsx                                                                50             22            574
app/[clinic]/dashboard/inventory/expiring/client.tsx                                                  48              7            565
app/[clinic]/dashboard/reminders/client.tsx                                                           36             10            556
app/[clinic]/dashboard/settings/time-off-types/page.tsx                                               35              9            551
components/dashboard/procurement/order-edit-form.tsx                                                  47             20            546
components/calendar/calendar-container.tsx                                                            47             34            544
app/platform/announcements/client.tsx                                                                 47              6            542
components/services/service-detail-client.tsx                                                         43             22            542
app/actions/whatsapp.ts                                                                               98             28            541
components/landing/network-map.tsx                                                                    40              3            535
lib/age-calculator/configs.ts                                                                         19             28            529
lib/types/calendar.ts                                                                                 83            125            527
app/[clinic]/dashboard/analytics/customers/page.tsx                                                   28              2            525
app/[clinic]/dashboard/lab/[id]/page.tsx                                                              40             11            514
app/[clinic]/store/client.tsx                                                                         50             11            514
app/[clinic]/dashboard/settings/alerts/client.tsx                                                     36              8            513
components/dashboard/procurement/order-detail-modal.tsx                                               34             14            506
lib/test-utils/factories/pet-factory.ts                                                               83            113            500
app/actions/time-off.ts                                                                               98             71            495
app/[clinic]/dashboard/analytics/page.tsx                                                             24              3            493
lib/api/openapi.ts                                                                                    16             14            487
app/[clinic]/dashboard/lost-pets/client.tsx                                                           46              8            480
app/[clinic]/portal/pets/new/page.tsx                                                                 27              6            478
app/[clinic]/dashboard/orders/prescriptions/client.tsx                                                40              3            475
app/api/cron/reminders/generate/route.ts                                                              72             43            471
app/platform/ambassadors/client.tsx                                                                   45              4            471
app/reclamar/page.tsx                                                                                 47              6            468
lib/test-utils/factories/store-order-factory.ts                                                       85             97            467
app/[clinic]/dashboard/clients/page.tsx                                                               31             11            466
components/calendar/quick-add-modal.tsx                                                               46             15            466
components/ambassador/ambassador-dashboard.tsx                                                        34             14            465
app/platform/clinics/client.tsx                                                                       37              6            464
components/dashboard/waiting-room.tsx                                                                 28              3            463
components/pets/tabs/pet-summary-tab.tsx                                                              37             15            461
app/[clinic]/diagnosis_codes/client.tsx                                                               41             15            459
app/api/cron/billing/auto-charge/route.ts                                                             71             68            453
app/api/cron/expiry-alerts/route.ts                                                                   52             21            452
components/COMPONENT_GUIDE.md                                                                        128              0            452
lib/gdpr/delete-data.ts                                                                               71             91            452
